trailingPE,averageDailyVolume10Day,bid,ask,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,navPrice,ytdReturn,beta3Year,fundInceptionDate,threeYearAverageReturn,fiveYearAverageReturn,quoteType,symbol,averageDailyVolume3Month,trailingThreeMonthReturns,epsTrailingTwelveMonths,netExpenseRatio,priceToBook,morningStarOverallRating,morningStarRiskRating,dividendRate
14.505825,401950,55.79,62.44,44.01,60.92,57.5558,54.61685,0,57.6755,5.74022,1.25,913334400,0.1370026,0.1588671,ETF,DFAT,380684,8.38065,4.073536,0.28,,,,
28.896866,0,,,459.8,636.35,621.2648,570.7584,5.437,,14.79535,1,1283817600,,,MUTUALFUND,VFIAX,0,8.11335,21.913795,0.04,1.6201446,5,3,5.2941
28.892641,0,,,459.88,636.41,621.3148,570.7928,5.437,,14.70823,1,1283817600,,,MUTUALFUND,VFINX,0,8.08366,21.917345,0.14,1.6201701,4,3,4.8539
,,535.8,541.2,536,541,,,,,,,,,,ETF,025K.BE,,,,,,,,
7.288669,4257,0,0,355,627.9091,453.7707,419.2916,5.437,,,,,,,ETF,0LO6.L,6434,,86.018,,1.6040689,,,
28.898865,0,,,243.78,337.4,329.406,302.6185,5.437,,14.82158,1,1283817600,,,MUTUALFUND,VFFSX,0,8.11872,11.618795,0.01,0.85906756,4,3,2.851
25.512405,0,,,32.13,41.62,36.9982,36.2413,,,5.09503,0.73,705888000,,,MUTUALFUND,VDIGX,0,1.43172,1.4918233,0.22,,2,1,0.2982
,0,,,173.01,239.47,233.8462,214.8435,,,14.82072,1,1304467200,,,MUTUALFUND,FXAIX,0,8.12116,,0.015,,5,3,1.923
28.73292,6132020,683.41,683.48,484,693.07,673.72,618.9194,5.688,674.555,14.81177,1,958348800,0.2427507,0.1604861,ETF,IVV,7428057,8.12301,23.793613,0.03,1.5866488,,,
4.495458,6616,12490,12700,10070,12799.99,12412.697,11776.74,5.688,674.555,,,958348800,,,ETF,IVV.MX,13112,,2785.478,0.03,29.061255,,,
8.118889,219,0,0,802.14,1049.28,1026.8954,953.2873,5.662,,,,,,,ETF,SPY.XA,162,,127.648,,2.4145193,,,
